Date,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
2025-10-07,25.0,2.0,11.11111111111111,5.476995939214846,26.0,24.0,2.0,25.0,24.986904761904764,26.01875,25.0,87.3,87.3,12.700000000000003,8.790762546163087,87.3,72.01190476190476,77.21000000000001,87.3
2025-10-08,23.7,3.3999999999999986,18.88888888888888,5.476995939214846,25.4,22.0,3.3999999999999986,23.7,24.986904761904764,26.01875,23.7,82.9,82.9,17.099999999999994,8.790762546163087,82.9,72.01190476190476,77.21000000000001,82.9
2025-10-09,25.25,0.5,2.7777777777777777,5.476995939214846,25.5,25.0,0.5,25.25,24.986904761904764,26.01875,25.25,81.2,81.2,18.799999999999997,8.790762546163087,81.2,72.01190476190476,77.21000000000001,81.2
2025-10-10,25.25,-1.5,-8.333333333333332,5.476995939214846,24.5,26.0,-1.5,25.25,24.986904761904764,26.01875,25.25,79.9,79.9,20.099999999999994,8.790762546163087,79.9,72.01190476190476,77.21000000000001,79.9
2025-10-11,24.5,1.0,5.555555555555555,5.476995939214846,25.0,24.0,1.0,25.483333333333334,24.5,26.01875,24.5,77.6,77.6,22.400000000000006,8.790762546163087,82.35384615384615,77.6,77.21000000000001,77.6
2025-10-12,23.5,5.0,27.77777777777778,5.476995939214846,26.0,21.0,5.0,25.483333333333334,23.5,26.01875,23.5,60.8,60.8,39.2,8.790762546163087,82.35384615384615,60.8,77.21000000000001,60.8
2025-10-13,22.5,5.0,27.77777777777778,5.476995939214846,25.0,20.0,5.0,25.483333333333334,22.5,26.01875,22.5,65.8,65.8,34.2,8.790762546163087,82.35384615384615,65.8,77.21000000000001,65.8
2025-10-14,22.5,5.0,27.77777777777778,5.476995939214846,25.0,20.0,5.0,25.483333333333334,22.5,26.01875,22.5,70.4,70.4,29.599999999999994,8.790762546163087,82.35384615384615,70.4,77.21000000000001,70.4
2025-10-15,23.0,6.0,33.33333333333333,5.476995939214846,26.0,20.0,6.0,25.483333333333334,23.0,26.01875,23.0,75.4,75.4,24.599999999999994,8.790762546163087,82.35384615384615,75.4,77.21000000000001,75.4
2025-10-16,25.5,1.0,5.555555555555555,5.476995939214846,26.0,25.0,1.0,25.5,24.986904761904764,26.01875,25.5,91.5,91.5,8.5,8.790762546163087,91.5,72.01190476190476,77.21000000000001,91.5
2025-10-17,26.0,2.0,11.11111111111111,5.476995939214846,27.0,25.0,2.0,26.0,24.986904761904764,26.01875,26.0,85.5,85.5,14.5,8.790762546163087,85.5,72.01190476190476,77.21000000000001,85.5
2025-10-18,27.0,2.0,11.11111111111111,5.476995939214846,28.0,26.0,2.0,27.0,24.986904761904764,26.01875,27.0,90.1,90.1,9.900000000000006,8.790762546163087,90.1,72.01190476190476,77.21000000000001,90.1
2025-10-19,26.25,6.5,36.11111111111111,5.476995939214846,29.5,23.0,6.5,26.25,24.986904761904764,26.25,24.452439024390245,81.7,81.7,18.299999999999997,8.790762546163087,81.7,72.01190476190476,81.7,76.77804878048781
2025-10-20,27.15,8.3,46.111111111111114,5.476995939214846,31.3,23.0,8.3,27.15,24.986904761904764,27.15,24.452439024390245,85.6,85.6,14.400000000000006,8.790762546163087,85.6,72.01190476190476,85.6,76.77804878048781
2025-10-21,28.35,6.699999999999999,37.222222222222214,5.476995939214846,31.7,25.0,6.699999999999999,25.483333333333334,28.35,28.35,24.452439024390245,76.7,76.7,23.299999999999997,8.790762546163087,82.35384615384615,76.7,76.7,76.77804878048781
2025-10-22,25.0,6.0,33.33333333333333,5.476995939214846,28.0,22.0,6.0,25.0,24.986904761904764,26.01875,25.0,79.9,79.9,20.099999999999994,8.790762546163087,79.9,72.01190476190476,77.21000000000001,79.9
2025-10-23,24.5,3.0,16.666666666666664,5.476995939214846,26.0,23.0,3.0,25.483333333333334,24.5,26.01875,24.5,69.6,69.6,30.400000000000006,8.790762546163087,82.35384615384615,69.6,77.21000000000001,69.6
2025-10-24,24.5,7.0,38.88888888888889,5.476995939214846,28.0,21.0,7.0,25.483333333333334,24.5,26.01875,24.5,61.0,61.0,39.0,8.790762546163087,82.35384615384615,61.0,77.21000000000001,61.0
2025-10-25,25.0,8.0,44.44444444444444,5.476995939214846,29.0,21.0,8.0,25.483333333333334,25.0,25.0,24.452439024390245,72.4,72.4,27.599999999999994,8.790762546163087,82.35384615384615,72.4,72.4,76.77804878048781
